대분류,부처,부서,게시판,URL,Crawler 구분,wrap_tag,title_tag,time_tag,time_re,trim_str,url_flag,session
,특수대학원,언론대학원,원우회/동문회 소식,http://gscom.sogang.ac.kr/front/cmsboardlist.do?siteId=gscom&bbsConfigFK=526,1,,,,,,,
,특수대학원,정보통신대학원,공지사항,http://gsinfo.sogang.ac.kr/front/cmsboardlist.do?siteId=gsinfo&bbsConfigFK=386,1,,,,,,,
,특수대학원,정보통신대학원,원우회 공지사항,http://gsinfotech.sogang.ac.kr/bbs/bbslist.do?forword=&wslID=gsinfotech&bbsid=3870,2,,,,,,,
,특수대학원,정보통신대학원,원우회 상조회,http://gsinfotech.sogang.ac.kr/bbs/bbslist.do?forword=&wslID=gsinfotech&bbsid=3871,2,,,,,,,
,특수대학원,정보통신대학원,원우회 행사,http://gsinfotech.sogang.ac.kr/bbs/bbslist.do?forword=&wslID=gsinfotech&bbsid=3872,2,,,,,,,
,부속기관,도서관,일반공지,http://library.sogang.ac.kr/bbs/list/1,8,,,,,,,
,부속기관,정보통신원,공지사항,http://it.sogang.ac.kr/front/cmsboardlist.do?siteId=it&bbsConfigFK=141,1,,,,,,,
,부속기관,벨라르미노학사,공지사항,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=dormitory&bbsConfigFK=1181,1,,,,,,,
,부속기관,벨라르미노학사,입퇴사공지,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=dormitory&bbsConfigFK=1182,1,,,,,,,
,부속기관,곤자가국제학사,Gonzaga Hall Office,https://gonzaga.sogang.ac.kr/admin/board/list.jsp?board_nm=notice,9,"tr,None,None,1:-1","td,None,None,1","td,None,None,3",[0-9]{4}.[0-9]{2}.[0-9]{2},"<!-- Contants : STR -->','<!-- Paging : STR -->",FALSE,FALSE
,부속기관,곤자가국제학사,Student Supervisor,https://gonzaga.sogang.ac.kr/admin/board/list.jsp?board_nm=Supervisor,9,,,,,,,
,부속기관,성평등상담실,공지사항,http://equality.sogang.ac.kr/front/cmsboardlist.do?siteId=equality&bbsConfigFK=2375,1,,,,,,,
,부속기관,국제지역문화원,공지사항,http://siracs.sogang.ac.kr/front/cmsboardlist.do?siteId=siracs&bbsConfigFK=2686,1,,,,,,,
,부속기관,메리홀,메리홀 소식,http://maryhall.sogang.ac.kr/front/cmsboardlist.do?siteId=maryhall&bbsConfigFK=1141,1,,,,,,,
,부속기관,학생생활상담연구소,공지사항,http://sgcounsel.sogang.ac.kr/front/cmsboardlist.do?siteId=sgcounsel&bbsConfigFK=221,1,,,,,,,
,부속기관,출판부,공지사항,http://sgup.sogang.ac.kr/front/cmsboardlist.do?siteId=sgup&bbsConfigFK=3129,1,,,,,,,
,부속교육기관,외국어교육원,공지사항,https://flec.sogang.ac.kr/5000/5800.php,10,"tr,None,none,::2","a,None,None,0","td,None,None,6",[0-9]{4}.[0-9]{2}.[0-9]{2},"<!------------  내용 시작  ------------>,</table>",TRUE,FALSE
,부속교육기관,게임&평생교육원,공지사항,https://scec.sogang.ac.kr/ht_ml/w_05ed/5000.php,11,"tr,None,none,::2","a,None,None,1","td,None,None,2",[0-9]{4}.[0-9]{2}.[0-9]{2},"<td height=""1"" colspan=""4"" align=""center"" bgcolor=""c9c8b0""></td>,</table>",TRUE,FALSE
,부속교육기관,게임&평생교육원 멀티미디어 학위과정,공지사항,https://www.soganggame.ac.kr/?CODE=0005&SUB=0001,,,,,,,,
,부속교육기관,한국어교육원,공지사항,https://klec.sogang.ac.kr/?url=00010,8,,,,,,,
,부속교육기관,경영교육원,공지사항,http://sgbec.sogang.ac.kr/front/cmsboardlist.do?siteId=sgbec&bbsConfigFK=2386,1,,,,,,,
,부설연구기관,철학연구소,공지사항,http://sgriphil.sogang.ac.kr/front/cmsboardlist.do?siteId=sgriphil&bbsConfigFK=2404,1,,,,,,,
